역이름,호선,가까운 AED,AED 위도,AED 경도,역으로부터 거리(m)
경복궁역,03호선,외교부 (외교부5층 동쪽 복도),37.5736099837789,126.975098079733,272.9955961740748
경복궁역,03호선,외교부 (외교부 9층 서쪽 복도),37.5736099837789,126.975098079733,272.9955961740748
경복궁역,03호선,경복궁관리소 (경회루 초소),37.5759040910202,126.976842133821,279.9618125419528
경복궁역,03호선,경복궁관리소 (신무문출입구),37.5759040910202,126.976842133821,279.9618125419528
경복궁역,03호선,경복궁관리소 (태원전 초소),37.5759040910202,126.976842133821,279.9618125419528
경복궁역,03호선,경복궁관리소 (흥례문),37.5759040910202,126.976842133821,279.9618125419528
경복궁역,03호선,경복궁관리소 (관리사무소),37.5759040910202,126.976842133821,279.9618125419528
경복궁역,03호선,경복궁관리소 (민박초소),37.5759040910202,126.976842133821,279.9618125419528
경복궁역,03호선,서울청사관리소 (정부서울청사 1층 체력단련실),37.5735,126.975,280.17350560789697
종로3가역,03호선,1호선 종로3가역 (대합실 고객안내 부스),37.5704266025836,126.99202930223,10.14631137594025
종로3가역,03호선,종로3가역(3호선) (역무실 앞),37.5711402785938,126.991994361467,81.08020807357408
종로3가역,03호선,종로3가치안센터 (1층 소내 책상 위),37.5712443657225,126.992328395433,92.99944316215186
종로3가역,03호선,서울특별시립돈의동쪽방상담소 (1층 안내데스크),37.5721537499463,126.991178996422,210.632030843724
종로3가역,03호선,"종로1,4가동주민센터 (입구)",37.5707116115999,126.988970930135,281.5339568481594
종로3가역,03호선,종로2가지구대 (파출소 내),37.5707116115999,126.988970930135,281.5339568481594
을지로3가역,03호선,을지로동주민센터 (민원실),37.5666973338264,126.991349991399,57.7046761452538
을지로3가역,03호선,2호선 을지로3가역 (역무실 앞),37.56626594615,126.990308356253,58.10354026895404
을지로3가역,03호선,서울청소년센터 (1층 입구),37.5674695165793,126.990556542568,137.54699655587336
